,SMILES,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
0,C1=CC(=CC=C1C=O)O,10.0361489,0.181111111,10.0361489,0.181111111,0.568137403,122.123,116.075,122.0367794,46,0,0.149552579,-0.507966219,0.507966219,0.149552579,1.222222222,1.777777778,2.222222222,16.25467143,10.21947074,1.864261498,-1.881248889,2.065017561,-1.742529864,5.742491118,0.11183426,3.009781948,200.6610651,6.690234444,4.742213232,4.742213232,4.325698503,2.569351398,2.569351398,1.709383353,1.709383353,1.029170898,1.029170898,0.552889265,0.552889265,-1.31,129.2253387,5.820039012,2.306763636,1.287705032,52.75210109,5.106527395,12.03567236,0,0,0,0,4.794537184,0,0,0,0,24.26546827,5.563451492,0,9.901064579,6.286160523,0,0,0,0,0,29.82891977,0,5.749511833,0,0,5.749511833,0,11.39268792,0,0,10.35798868,24.26546827,0,0,0,37.3,0,4.794537184,0,5.749511833,5.563451492,6.286160523,12.13273414,12.13273414,0,0,5.106527395,0,0,10.0361489,8.736258503,0.576666667,0.181111111,6.067592593,0.735555556,0,0,0,9,1,2,0,0,0,1,0,1,2,1,2,1,0,0,0,1,1.2047,33.4943,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CC(=O)O,9,-0.833333333,9,0.833333333,0.429882883,60.052,56.02,60.02112937,24,0,0.299684553,-0.481433475,0.481433475,0.299684553,2,2,2,16.36392907,10.85498522,1.650995185,-1.589773995,1.415654394,-1.777043743,5.624779759,-0.133928992,2.803039488,27.01955001,3.577350269,2.355461886,2.355461886,1.732050808,0.927730943,0.927730943,0.519018036,0.519018036,0,0,0,0,-0.53,3.245112498,3.47,0.8748583,1.156009256,24.05994899,5.106527395,0,0,0,5.969305288,0,4.794537184,0,0,0,0,0,6.9237372,0,9.901064579,5.969305288,0,0,0,6.9237372,0,0,0,0,0,0,0,0,11.07583268,4.794537184,0,6.9237372,0,0,0,0,37.3,5.969305288,0,0,0,0,6.9237372,0,0,0,0,9.901064579,0,0,9,7.416666667,0,-0.833333333,0,0,1.083333333,0,0.5,4,1,2,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0.0909,13.3098,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,CC=O,8.805555556,0.75,8.805555556,0.75,0.355007613,44.053,40.021,44.02621475,18,0,0.116405283,-0.30371527,0.30371527,0.116405283,2,2,2,16.12814585,10.96029404,1.240992307,-1.234884554,1.128696431,-1.358030367,5.439544345,-0.105610463,2.187496097,10.26466251,2.707106781,1.98559856,1.98559856,1.414213562,0.81305253,0.81305253,0.23570226,0.23570226,0,0,0,0,-0.33,2.754887502,2.67,1.67,1.67,19.26571524,4.794537184,6.286160523,0,0,0,0,0,0,0,0,0,6.9237372,0,0,4.794537184,6.286160523,0,0,0,6.9237372,0,0,0,0,0,0,0,0,6.286160523,4.794537184,0,6.9237372,0,0,0,0,17.07,0,0,0,0,0,6.286160523,6.9237372,0,0,0,4.794537184,0,0,8.805555556,0,0,0,0,0.75,1.444444444,0,0.5,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.2052,11.738,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,CC(=O)C,9.444444444,0.166666667,9.444444444,0.166666667,0.398236962,58.08,52.032,58.04186481,24,0,0.126267944,-0.300343903,0.300343903,0.126267944,1.5,1.5,1.5,16.136528,10.55082225,1.619125489,-1.557836365,1.500722222,-1.691320522,5.717069246,-0.114492595,2.803039488,26.26466251,3.577350269,2.90824829,2.90824829,1.732050808,1.204124145,1.204124145,0.90824829,0.90824829,0,0,0,0,-0.33,3.245112498,3.67,1.044531835,6.883957759,25.63065736,4.794537184,5.783244946,0,0,0,0,0,0,0,0,0,13.8474744,0,0,4.794537184,5.783244946,0,0,0,13.8474744,0,0,0,0,0,0,0,0,5.783244946,4.794537184,0,13.8474744,0,0,0,0,17.07,0,4.794537184,0,5.783244946,0,0,13.8474744,0,0,0,0,0,0,9.444444444,0,0,0.166666667,0,0,3.055555556,0,0.666666667,4,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.5953,16.355,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,C(CCC(=O)O)CC(=O)O,9.896551871,-0.870010393,9.896551871,0.062777778,0.560076648,146.142,136.062,146.0579088,58,0,0.302839788,-0.481230389,0.481230389,0.302839788,0.9,1.2,1.4,16.36830375,10.1780733,1.985088859,-1.915596928,1.981846822,-1.969187406,5.674388687,-0.138875513,3.05508994,113.7095059,7.983127663,5.539350897,5.539350897,4.625897658,3.062568667,3.062568667,1.994583868,1.994583868,1.031284334,1.031284334,0.55245145,0.55245145,-1.06,116.6167454,8.94,4.78480679,6.94,58.4754733,10.21305479,0,0,0,0,11.93861058,9.589074368,0,0,0,0,12.84164325,12.84164325,0,19.80212916,11.93861058,0,0,0,25.68328649,0,0,0,0,0,0,0,0,22.15166537,9.589074368,0,25.68328649,0,0,0,0,74.6,11.93861058,9.589074368,0,12.84164325,12.84164325,0,0,0,0,0,10.21305479,0,0,19.79310374,16.26256519,0,-1.740020786,0,1.017685185,0,0,0.666666667,10,2,4,0,0,0,0,0,0,2,2,4,5,0,0,0,0,0.716,33.7396,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,C(CN)C(=O)O,9.519305556,-0.835648148,9.519305556,0.069444444,0.475391945,89.094,82.038,89.04767846,36,0,0.304125216,-0.481195255,0.481195255,0.304125216,1.833333333,2.333333333,2.333333333,16.36518016,10.45280754,1.872247142,-1.801777787,1.671878707,-2.051085589,5.66278532,-0.136259751,2.83125711,52.7548875,4.991563832,3.347025718,3.347025718,2.77005561,1.689532624,1.689532624,0.932413678,0.932413678,0.358203039,0.358203039,0.123475288,0.123475288,-0.57,14.83446686,5.43,2.655733634,3.43,35.76478181,10.84019487,0,0,0,0,5.969305288,4.794537184,0,0,0,0,0,6.544756406,6.420821623,9.901064579,5.969305288,0,0,5.733667477,6.420821623,6.544756406,0,0,0,5.733667477,0,0,0,17.62058909,4.794537184,0,6.420821623,0,0,0,0,63.32,5.969305288,4.794537184,0,12.96557803,0,0,0,0,0,0,10.84019487,0,0,9.519305556,7.833472222,4.848611111,-0.835648148,0,0.069444444,0.231481481,0,0.666666667,6,3,3,0,0,0,0,0,0,2,2,3,2,0,0,0,0,-0.5802,21.3072,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,C1=CC=C(C=C1)C=O,10.00648148,0.729166667,10.00648148,0.729166667,0.495636268,106.124,100.076,106.0418648,40,0,0.149548029,-0.297896412,0.297896412,0.149548029,1.125,1.75,2.125,16.12891862,10.23603213,1.794730721,-1.814861063,1.909959326,-1.725086234,5.737575003,0.111834695,2.991046915,167.001517,5.819990956,4.372349906,4.372349906,3.931851653,2.435060998,2.435060998,1.528534733,1.528534733,0.935655255,0.935655255,0.531606339,0.531606339,-1.11,91.36757728,5.035137881,2.262450086,0.936277399,47.95786733,0,6.286160523,0,0,0,0,4.794537184,0,0,0,30.33183534,0,5.563451492,0,4.794537184,6.286160523,0,0,0,0,0,35.89528683,0,0,0,0,0,0,6.286160523,0,0,10.35798868,30.33183534,0,0,0,17.07,0,4.794537184,0,0,0,11.84961201,0,12.13273414,18.19910121,0,0,0,0,10.00648148,0,0.729166667,0,9.097685185,0.833333333,0,0,0,8,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1,1.4991,31.8295,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,C1=CC=CC=C1,2,2,2,2,0.442628372,78.114,72.066,78.04695019,30,0,-0.062268571,-0.062268571,0.062268571,0.062268571,0.333333333,0.5,0.666666667,13.64699316,10.37900684,1.573724591,-1.694261733,1.794093162,-1.473893162,4.985993162,1.718006838,3,71.96100506,4.242640687,3.464101615,3.464101615,3,2,2,1.154700538,1.154700538,0.666666667,0.666666667,0.384900179,0.384900179,-0.78,34.39946188,3.411570881,1.60576944,0.58239926,37.43140312,0,0,0,0,0,0,0,0,0,0,36.39820241,0,0,0,0,0,0,0,0,0,0,36.39820241,0,0,0,0,0,0,0,0,0,0,36.39820241,0,0,0,0,0,0,0,0,0,0,0,0,36.39820241,0,0,0,0,0,0,0,0,12,0,0,0,0,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1.6866,26.442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,C1=CC=C(C=C1)C(=O)O,10.20092593,-0.879074074,10.20092593,0.331018519,0.610603539,122.123,116.075,122.0367794,46,0,0.335178235,-0.477639251,0.477639251,0.335178235,1.222222222,1.777777778,2.111111111,16.36552806,10.2158578,1.960773903,-1.876559698,1.95538299,-1.930628591,5.868348678,0.069666741,2.981454614,203.4159526,6.690234444,4.742213232,4.742213232,4.304530453,2.588414546,2.588414546,1.671177968,1.671177968,1.020739643,1.020739643,0.580729834,0.580729834,-1.31,129.2253387,5.820039012,2.306763636,1.287705032,52.75210109,5.106527395,0,0,0,0,5.969305288,0,4.794537184,0,0,18.19910121,12.13273414,0,5.563451492,9.901064579,5.969305288,0,0,0,0,0,35.89528683,0,0,0,0,0,0,11.07583268,0,0,10.35798868,30.33183534,0,0,0,37.3,5.969305288,4.794537184,0,0,5.563451492,0,0,30.33183534,0,0,5.106527395,0,0,10.20092593,8.384814815,0.331018519,-0.879074074,8.295648148,0,0,0,0,9,1,2,0,0,0,1,0,1,1,1,2,1,0,0,0,1,1.3848,33.4013,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,C1=CC=C(C=C1)CO,8.537592593,0.139722222,8.537592593,0.139722222,0.572343612,108.14,100.076,108.0575149,42,0,0.06813694,-0.391680468,0.391680468,0.06813694,1.125,1.75,2.125,16.2502435,10.22648003,1.806301482,-1.887328947,1.949100336,-1.772683675,5.124430983,0.281609266,2.832085835,145.7328145,5.819990956,4.541071723,4.541071723,3.931851653,2.580464759,2.580464759,1.643712443,1.643712443,1.025398848,1.025398848,0.583419827,0.583419827,-0.82,91.36757728,5.319275766,2.478228729,1.073981897,48.59057899,5.106527395,0,0,0,0,0,0,0,0,0,30.33183534,5.563451492,0,6.606881965,5.106527395,0,0,0,0,6.606881965,0,35.89528683,0,0,0,0,0,0,5.106527395,6.606881965,0,5.563451492,30.33183534,0,0,0,20.23,0,0,0,6.606881965,0,5.563451492,0,0,30.33183534,0,5.106527395,0,0,0,8.537592593,0.965277778,0,9.524074074,0,0.139722222,0,0.142857143,8,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1.1789,32.3648,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
